twitter_user_id,mastodon_user_id,mastodon_server_hostname
7.34348794611917E+017,1.09293014297329E+017,mas.to
120581869,1.09366530182051E+017,dice.camp
9.2897190288599E+017,1.09342674705054E+017,piaille.fr
296364069,1.09330055081297E+017,hachyderm.io
271645211,1.0924547399946E+017,mastodon.social
64015230,1.0930295070211E+017,fediscience.org
1.25350351022789E+018,1.09309237728742E+017,c.im
29620091,1.08194483303747E+017,mstdn.social
1568186179,1.09343013672879E+017,mastodon.world
18135016,1.09364386417301E+017,newsie.social
6949612,1.09510207631147E+017,mstdn.social
2347717556,1.09297048388721E+017,piaille.fr
15881197,1.09391366130313E+017,kolektiva.social
3146102364,1.09293296642706E+017,lor.sh
22024307,1.0940981238091E+017,mastodon.world
129776211,1.09324029034887E+017,mas.to
354805666,1.09262241905612E+017,mstdn.social
37053385,14570,mamot.fr
8.28336762695004E+017,1.09349541384937E+017,mstdn.social
299667476,1.09340100876729E+017,mstdn.ca
2963116543,1.09467878261988E+017,techhub.social
1335657032,1.09310816541939E+017,infosec.exchange
383916089,1.09253091702751E+017,mastodon.social
4517658018,1.09275217851327E+017,androiddev.social
1.25434466498083E+018,1.09370300674931E+017,mastorol.es
15885004,1.092824657163E+017,hachyderm.io
3239204444,1.08208592085235E+017,chaos.social
31805620,1.09284075383055E+017,ioc.exchange
38269469,1.1013965516825E+017,federated.press
191194410,1.09291146388796E+017,mastodon.ie
15944463,1.09307973089128E+017,mastodon.nl
41599199,411643,mastodon.social
14407166,1.09383687443094E+017,assemblag.es
1658365404,1.09299450454552E+017,mastodon.online
12329722,1.08514263336844E+017,mastodon.social
22102861,1.09288782055603E+017,mas.to
2493365281,1.09703991529777E+017,helmholtz.social
79726593,1.08207058899678E+017,mastodon.art
14257788,1.09328717368949E+017,neurodifferent.me
16261886,1.09327455852127E+017,paquita.masto.host
323619428,1.09321844276137E+017,climatejustice.social
2833926855,369,fediscience.org
51201283,19652,mastodon.social
1672269618,1.09285504897384E+017,mas.to
212361506,1.09362756747661E+017,macaw.social
36091435,1.09769210565669E+017,mastodon.green
19734691,1.0936458635738E+017,mastodon.nl
1539405806,1.0929188975677E+017,mstdn.social
346099865,1.0956280795632E+017,mastodon.nl
613348867,1.09244321993801E+017,c.im
4919351,1.09376345551798E+017,hachyderm.io
192494288,1.09292293541096E+017,c.im
15408138,1.0984199690294E+017,poststoffarm.de
8.37730219066819E+017,1.09245885471777E+017,infosec.exchange
3970051,1.09780565981507E+017,glammr.us
22269300,174742,chaos.social
487712804,1.0930859583841E+017,zirk.us
1.37260804653123E+018,1.09523086101954E+017,berlin.social
3044902239,1.09374673074428E+017,infosec.exchange
17667371,1.08193226691181E+017,tech.lgbt
72631669,1.09314139388649E+017,c.im
1.02924641210883E+018,1.09509460377098E+017,botsin.space
238020952,1.09300673114465E+017,mas.to
21276631,1.09384427209281E+017,mstdn.ca
14320521,1.08204562625037E+017,c.im
1.14783072634534E+018,1.095365041134E+017,sciences.social
8.19842307746919E+017,1.09387407688008E+017,berlin.social
14468365,1.09293928869793E+017,mastodon.sdf.org
347144307,1.09749807935746E+017,neuromatch.social
95972343,1.09259992348649E+017,fosstodon.org
1.05219806225968E+018,1.09558410235942E+017,hachyderm.io
168749776,1.09004308956716E+017,fosstodon.org
1537525484,35145,mastodon.social
31399441,1.0963651294595E+017,mstdn.plus
1312791,APUOY14tl3WyczQ3Rg,fgc.network
29103972,536812,mastodon.social
2469964320,1.08204974389607E+017,hachyderm.io
14199849,1.09252952318643E+017,mastodon.social
60883,1.09644476260224E+017,hachyderm.io
1.00048383980063E+018,1.09286718139435E+017,ecoevo.social
14922492,1.09285290511726E+017,mastodon.ie
21177549,1.09257498571157E+017,mastodon.ie
2826426096,1.09243521077214E+017,mastodon.social
5410972,1.09253361160098E+017,mastodon.nz
246998779,1.09268476151455E+017,c.im
7.69274987010204E+017,1.09430239339955E+017,mstdn.social
18506923,1.09354902591452E+017,universeodon.com
18027524,1.08226482991733E+017,mastodon.social
14397125,1.09392968793553E+017,ecoevo.social
29344616,1.09822921724135E+017,mstdn.ca
21183694,1.09285393474087E+017,mstdn.social
1297531,1.09366527204832E+017,social.coop
44590558,1.09357010490815E+017,bne.social
53588188,1.09300465801278E+017,tinnies.club
8.20378757928288E+017,1.09293669619915E+017,c.im
15146402,1.09316986453308E+017,c.im
14407068,1.09294283133836E+017,mastodon.nz
110861373,1.09322742019669E+017,mstdn.social
299095808,1.09287772236669E+017,mstdn.science
10776522,421,scholar.social
115359136,1.09496077752747E+017,mstdn.social
1.22227248816121E+018,1.09521516450442E+017,mstdn.social
2319698948,311714,mamot.fr
8152782,1.09267540117229E+017,aus.social
14544840,26729,infosec.exchange
2568827205,1.09292786353666E+017,sigmoid.social
28295489,1.0938117514751E+017,mathstodon.xyz
7.7833093439531E+017,1.09296951681133E+017,piaille.fr
2284151,80528,chaos.social
14253476,1.0819271200772E+017,mastodon.social
1.35859265342469E+018,1.10771378563707E+017,gaypirates.club
1.30524507116861E+018,1.09363319949137E+017,mastodon.gamedev.place
53587596,1.09417937181867E+017,okla.social
47464751,1.09320983360551E+017,c.im
576700946,1.09270932454829E+017,chaos.social
36326318,1.09295840876337E+017,mastodon.gamedev.place
324751566,26555,mastodon.social
208123266,1.09340982233409E+017,bildung.social
46817595,1.10135571954929E+017,sigmoid.social
517921400,1.09377418976207E+017,fosstodon.org
1388661,1.09308308765289E+017,toot.lv
878038796,1.09336360629788E+017,bayes.club
1698041,1.08194107220133E+017,mastodon.social
13843942,1.09288334698391E+017,mastodon.nz
18413259,1.09293128170759E+017,mastodon.green
14093286,1.08082770648976E+017,mastodon.social
1.21262389442883E+018,1.09264040103219E+017,chaos.social
455799069,1.09342841468752E+017,sciences.social
568515356,1.09324971851223E+017,toad.social
14293288,3,post.lurk.org
26368288,1.09363129810612E+017,mastodon.world
22500086,1.09501803270841E+017,mastodon.social
18409449,134818,mastodon.social
8.58602018067403E+017,1.09501969118087E+017,mstdn.social
310603058,1.09338004325963E+017,social.coop
2944371,1.09367617535254E+017,neurodifferent.me
245682624,1.0927362530136E+017,mastodont.cat
7.25009994404499E+017,1.09359538439007E+017,astrodon.social
32791609,1.09323277166711E+017,mstdn.social
25815677,1.09324680897515E+017,mstdn.social
271595967,1.09268602557624E+017,social.cologne
6643532,1.0927014321323E+017,mas.to
9.33795186701939E+017,1.09377902934384E+017,infosec.exchange
50140857,1.0924051561771E+017,mastodon.social
1.43333940739906E+018,1.09548456333133E+017,zirk.us
236837695,1.09292203795147E+017,infosec.exchange
7.52032604984148E+017,1.09287107914212E+017,zug.network
9974792,1.09410290480137E+017,mastodontti.fi
319743492,1.09373275085876E+017,mstdn.ca
23185038,1.07049159218793E+017,digitalcourage.social
