twitter_user_id,bluesky_user_did
59361871,did:plc:fhtdkuqtwiunm64mxl4fuqqu
19664663,did:plc:kucwe5qriwq3r4em3gyca4e6
52343800,did:plc:4ihjwkczz6dwpwn3x6rja5yz
23818992,did:plc:yktzzztevmgfveh3u4dx3pww
22867917,did:plc:jh4flmbrqcicfuulppdstoth
264623313,did:plc:t6z5ijbxku5lko5uvuilux3s
21911084,did:plc:ju2o6ccbjn52yuyygfxevcae
3439326610,did:plc:e4lhgyutcfwag6kmrkrddzly
15173685,did:plc:qbijusyv4ylr66rzd3woot4k
66437929,did:plc:lho5bz7ohw6t3ysoqumibu3y
15059396,did:plc:ro7hxd5agoocbyhhgs6i6jn6
529443116,did:plc:lpwtgfxqrn35blk47gt7zkhy
37575978,did:plc:no7klxbghdipumg44mep3mzl
860668494,did:plc:shcdeorf2u45o3f2hkaznl7w
185921243,did:plc:w3ajd3lzo3i52fnhv7wsnok4
142771553,did:plc:mxnpejm5n6hsdk6lwuciu5cv
1.18616079404556E+018,did:plc:bhwrlcdtmn2qzxzqrzhv3tnq
610627904,did:plc:yui4jzm6aaqqxeu5jf7au44n
8.806262335744E+017,did:plc:2moeam7ni4chu3nohbcuxkpi
268402733,did:plc:5texsn6ywjwngekdehltylfe
432581911,did:plc:tgw3d4hvw3x5ijrxax7lg26u
17417121,did:plc:4vhu6pap5wzanbuzg6gjmytk
9.96802345009725E+017,did:plc:rystgowrixkh6pumr4kg4b2o
14068854,did:plc:bx7mw7vvjnom2zdbo6t32zdt
6089732,did:plc:grq6v3nmffgddj7y3ittanb7
18367886,did:plc:535ntsfx4j5huzif77txnbek
19762342,did:plc:ojmbkta5v4dxvsxcn5uhssar
18670940,did:plc:35reg3wommhn6sa5ofuawu77
231259958,did:plc:n5f7w4v7l65vjfaljp4727ng
3274121605,did:plc:ax3becgftsc2jv3dxacvtyur
15463315,did:plc:ddkwwmygvai35ieoxu53ge6h
16894283,did:plc:ldqyqk2j2cl7xq63jfr3zcfv
143694663,did:plc:kntvojcbwa7abbgkiurtes3h
457095704,did:plc:tkqh3vxx3h3tyn7lpimprxbt
2233489735,did:plc:argny2v4o2z3r5mwgfr4vnre
59300026,did:plc:55owi36jiks2tiv6ntixnsap
28219431,did:plc:utlcx3mzauhgyucqmjhew43u
2648490674,did:plc:6pdahjqdpi7wtjzvhrphssez
9.00100790622142E+017,did:plc:5tb7nazpk5lek5qv6lrlg2l4
1.43532041773299E+018,did:plc:wwaj3dum7kyiur4lljsjml4n
14523404,did:plc:oad6oh7t4odigvrc67n2n7pz
1.03266478925485E+018,did:plc:773f372dwp2fdsnogfq2xyyz
96752704,did:plc:tcqivrebggtumpluicaihwon
11861272,did:plc:lo5ferbhwihs4pumzgy4cpbj
30724377,did:plc:rxez2chehwelfq4ns6jq3eni
9.43695623827595E+017,did:plc:wfjpujylldi5cnbhqfsujxlh
1.35503979706508E+018,did:plc:must36vwe52rpwqogpiyntgh
213083605,did:plc:iube2dajl4h7hknntpuyoeym
50070206,did:plc:q7gkr2qlksygpedp7a22pwba
15773296,did:plc:qmyhtwf24eg57kw2nvyr2uwd
47308934,did:plc:43ymqaiy24h5nu7shbme4m3u
15274752,did:plc:ogmqkw4g7hgajpeq66bwelxh
487779089,did:plc:ozumysqj54ktkifama3xaxja
1.04443587227436E+018,did:plc:l6fjmbiytms6p2773oghkkxm
117450420,did:plc:sutdz7ckbicr6cdivxfs4cn6
158952098,did:plc:kld27cikcbux2xbakgnw2p7k
2558232205,did:plc:bsd4ang4si6vnjxtmmt7wpj6
4747447696,did:plc:qcxlusl7thiefun7uf7v7ure
317317820,did:plc:k7e3qj6h7s4yoitdmgn3vr2b
551333629,did:plc:5gmjadcbjgfpuqw5smz2y6cg
18105922,did:plc:jud2gamd2arpdvsc2ubfutbz
23054329,did:plc:chhxua2ifiy6gaj3bpnucxnk
15385754,did:plc:d7ntl5tliucd4zqdppjevcfo
738653653,did:plc:zmdjdqp3aaefge3aj7hb436n
3384018370,did:plc:5zd4oy5ebniush2xj2h5tmsp
1914761,did:plc:rafuudgy4wrxvb4h4bsqox4t
115392121,did:plc:wjzazq4cspiytnv5h2cl655z
17404218,did:plc:jeg4a6gwddorvxgd5gg5b2e5
131942721,did:plc:zhkxclkn4hokanjx3l3s6rdr
17085267,did:plc:vfzsp34clqtop6skinbpsmpf
17932204,did:plc:riy25hnhkt4vepy6unwd7ul6
48590619,did:plc:z6nbbystmeo7uhbj57zo4slz
2006581,did:plc:poss7hryzwfxstcewi7vkied
1114735688,did:plc:tfbm5tjbx6vsks77mzrqls6g
14312340,did:plc:cl4n3wsx36g5sn7egkvmu7dg
324760888,did:plc:ovle6aqkjcegnfs73vbuoqx4
1.05335882076699E+018,did:plc:lvo4e5lxiopq2allpsyxo4je
9.98458613046882E+017,did:plc:rcgrkfgh55jxcbsejzkzexv7
18529897,did:plc:42c4x6hmpn4addbsgj26oobc
724343851,did:plc:hxmydl7exlnupkzt2hiui3n7
94628849,did:plc:3wuj4mm5cl556oggem3hmkxj
8750372,did:plc:orkxbxhhfqqhz65cqummf5uq
281424863,did:plc:bzmltrv42dtnfs2ofcemy6bx
1.03781014953937E+018,did:plc:k3hqyhqyljjrggbk73zhlb2j
7.90955981014434E+017,did:plc:ykey2rtozawpewye2gy5ab6m
26687148,did:plc:7q5jh3mrw2noabgsaq45cknj
19122205,did:plc:itmi2hs62k7t2astrwc4pedv
1.32636955825341E+018,did:plc:7234yom5bhj2mixyciltjrft
34995701,did:plc:ckfo6fu3limwhudbr3i4l2zb
8619122,did:plc:b67eyveyr2rnez2yzazx4rqy
709608066,did:plc:s77urqiybb5zsio7xqoqarek
1.14998762563518E+018,did:plc:nw2whnw2tevemde7iuxwjljg
1.2981535825005E+018,did:plc:hmrongvtxc2zz6bvxc4j4krg
7.36542180844679E+017,did:plc:c46x3q3hzlut3pgaadtrm3sb
413798721,did:plc:wnblumsafrrx3h25kvh3sfkd
16308183,did:plc:ki7o6djksfkmfsbrjl3sksih
3027610372,did:plc:ap64sp5nb3vmwgtiyj4makz5
2300353356,did:plc:tmbqz45l6mbfo7lugwcjzn6g
9.23361094768439E+017,did:plc:63ub6wud4usxr4nwqohw7ubm
297573898,did:plc:3m2kz5ia6hkiwtsasrosqgdg
86181183,did:plc:7rxtmriyrehvwf7qoiilqcyx
850490683,did:plc:n6toasuygvzmyzkyzdggkmhh
167956683,did:plc:i6irri23b6vleic4ixccyqt6
17666928,did:plc:seygek7pe3pvxugbws6uctzv
193883484,did:plc:rj7qjtofmdpjdk2zanufc2wp
1.27440632793517E+018,did:plc:5curfzse4ttjjl4vygw5csri
23785979,did:plc:h3xwwc5muuac5uiglxkigdwc
234224004,did:plc:jjvrs3a626swhfzq3czhzvrb
2671023157,did:plc:qjx5y5eozzywpyw23hdua5qe
17161988,did:plc:3lgl6u3lz225qcdkibqluxv7
2258223979,did:plc:xicbh4s7zyh5tvcvprfncnt2
128608886,did:plc:cg2jq4ndidu52mjqfgjggeuy
9.1750386609415E+017,did:plc:6zwsjszejayipvqya2cn3ozy
17718493,did:plc:s5oeor65r2gsoke4flfwlddu
359354972,did:plc:dtps25l4y2skxqilpaywl7ux
1.42570748261001E+018,did:plc:6a46y2daw34bmupl73kfx6oj
7.81367901676794E+017,did:plc:hs2wemlrexaviqr4uj23ic3y
2347831572,did:plc:3u2l5vpcaubnj2hekoebdgzj
1.26744468928585E+018,did:plc:xuwck5eaqdego3v3o5fv2x23
17885888,did:plc:rz2ctwpu6gc6opiy2qsbu4ja
